authors;first_author;title;source;month;year;volume;pages;citations;key1;key2
Lobet, Pound, Diener, Pradal, Draye, Godin Javaux, Leitner, Meunier, Nacry, Pridmore, Schnepf;Lobet;Root System Markup Language: toward an unified root architecture description language;Plant Physiology;1;2015;167;617-627;1;image_analysis,modelling;root
Lobet,Couvreur,Meunier, Javaux,  Draye;Lobet;Plant water uptake in drying soils;Plant Physiology;1;2014;164;1619-1627;11;water;root
Mathieu, Lobet, Tocquin, PŽrilleux;Mathieu;Rhizoponics, a novel hydroponic rhizotron for root system analyses on mature Arabidopsis thaliana plants;Plant Methods;2;2015;11;1-7;0;phenotyping,image_analysis;root
Perilleux,Lobet,Tocquin;Perilleux;Inflorescence development in tomato: gene functions within a zigzag model;Frontiers in Plant Sciences;6;2014;5:121;1-12;1;modelling;shoot
Lobet,Pages,Draye;Lobet;A modeling approach to determine the importance of dynamic regulation of plant hydraulic conductivities on the water uptake dynamics in the soil-plant-atmosphere system;Ecological Modeling;2;2014;290;65-75;1;modelling,water;root,shoot
Lobet,Pages,Draye;Lobet;A novel image analysis toolbox enabling quantitative analysis of root system architecture;Plant Physiology;11;2011;157;29-39;46;image_analysis;root
Lambrechts, Lequeue, Lobet, Godin, Bielders, Lutts;Lambrecht;Comparative analysis of Cd and Zn impacts on root distribution and morphology of Lolium perenne and Trifolium repens: implications for phytostabilization;Plant And Soil;11;2013;376;1487-1503;0;image_analysis;root
ill,  Porco, Lobet, Zappala,Mooney, Draye, Bennett;Hill;Root Systems Biology: bridging regulatory networks to rhizosphere-scale processes;Plant Physiology;10;2014;163;1487-1503;6;modelling;root
Lobet,Draye,Perilleux;Lobet;An online database for plant image analysis software tools;Plant Methods;10;2013;9;1-7;12;image_analysis;root,shoot
Lobet,Draye;Lobet;Novel scanning procedure enabling the vectorization of entire rhizotron-grown root systems;Plant Methods;2;2013;9;2-10;10;phenotyping,image_analysis;root
Draye,Kim,Lobet,Javaux;Draye;Model-assisted integration of physiological and environmental constraints affecting the dynamic and spatial patterns of root water uptake from soils;Journal of Experimental Botany;10;2010;61;2145-2155;58;modelling,water;root
Rell‡n-çlvarez, Lobet, Lindner, Pradier, Yee,  Sebastian,  Geng,  Trontin,  LaRue,  Schrager,  Haney,  Nieu, Maloof,  Vogel,  Dinneny;Rellan-Alvarez;Multidimensional mapping of adaptive responses to soil-based environmental cues in root systems using a luminescence-based imaging system;bioRXiv;11;2015;-;-;0;image_analysis;root
